,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
103,2020-03-08,16:30 (12:30),Premier League,Matchweek 29,Sun,Away,L,0.0,2.0,Manchester Utd,0.6,1.6,72.0,Fernandinho,4-3-3-0,Mike Dean,7,4,57.1,0.0,0.0,16.9,0.0,0,0,season 3,-2.0
104,2020-06-17,20:15 (15:15),Premier League,Matchweek 28,Wed,Home,W,3.0,0.0,Arsenal,2.6,0.3,67.0,David Silva,4-3-3-0,Anthony Taylor,19,11,57.9,0.11,0.18,18.3,2.0,1,1,season 3,3.0
105,2020-06-22,20:00 (15:00),Premier League,Matchweek 30,Mon,Home,W,5.0,0.0,Burnley,2.4,0.0,71.0,David Silva,4-3-3-0,Andre Marriner,18,6,33.3,0.22,0.67,19.6,1.0,1,1,season 3,5.0
106,2020-06-25,20:15 (15:15),Premier League,Matchweek 31,Thu,Away,L,1.0,2.0,Chelsea,0.8,3.2,65.0,Fernandinho,4-3-3-0,Stuart Attwell,11,2,18.2,0.09,0.5,21.4,1.0,0,0,season 3,-1.0
107,2020-07-02,20:15 (15:15),Premier League,Matchweek 32,Thu,Home,W,4.0,0.0,Liverpool,2.4,1.1,47.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,13,4,30.8,0.15,0.5,17.5,0.0,1,1,season 3,4.0
108,2020-07-05,19:00 (14:00),Premier League,Matchweek 33,Sun,Away,L,0.0,1.0,Southampton,3.2,0.6,73.0,David Silva,4-3-3-0,Andre Marriner,26,6,23.1,0.0,0.0,15.4,1.0,0,0,season 3,-1.0
109,2020-07-08,18:00 (13:00),Premier League,Matchweek 34,Wed,Home,W,5.0,0.0,Newcastle Utd,2.8,0.3,73.0,David Silva,4-3-3-0,Andy Madley,23,9,39.1,0.17,0.44,15.9,1.0,0,0,season 3,5.0
110,2020-07-11,20:00 (15:00),Premier League,Matchweek 35,Sat,Away,W,5.0,0.0,Brighton,4.4,0.2,70.0,Kevin De Bruyne,4-3-3-0,Graham Scott,26,8,30.8,0.19,0.63,13.6,1.0,0,0,season 3,5.0
111,2020-07-15,18:00 (13:00),Premier League,Matchweek 36,Wed,Home,W,2.0,1.0,Bournemouth,0.7,1.6,71.0,David Silva,4-2-3-1,Lee Mason,8,4,50.0,0.25,0.5,15.8,1.0,0,0,season 3,1.0
112,2020-07-21,18:00 (13:00),Premier League,Matchweek 37,Tue,Away,W,4.0,0.0,Watford,3.3,0.1,76.0,Kevin De Bruyne,4-3-3-0,Michael Oliver,25,9,36.0,0.16,0.44,17.4,1.0,0,1,season 3,4.0
113,2020-07-26,16:00 (11:00),Premier League,Matchweek 38,Sun,Home,W,5.0,0.0,Norwich City,3.2,1.0,73.0,David Silva,4-3-3-0,Craig Pawson,31,9,29.0,0.16,0.56,15.3,0.0,0,0,season 3,5.0
114,2020-09-21,20:15 (15:15),Premier League,Matchweek 2,Mon,Away,W,3.0,1.0,Wolves,1.9,0.6,65.0,Fernandinho,4-2-3-1,Andre Marriner,13,8,61.5,0.15,0.25,21.1,2.0,1,1,season 4,2.0
115,2020-09-27,16:30 (11:30),Premier League,Matchweek 3,Sun,Home,L,2.0,5.0,Leicester City,0.9,2.9,72.0,Fernandinho,4-2-3-1,Michael Oliver,16,5,31.3,0.13,0.4,19.8,1.0,0,0,season 4,-3.0
116,2020-10-03,17:30 (12:30),Premier League,Matchweek 4,Sat,Away,D,1.0,1.0,Leeds United,1.2,2.4,49.0,Kevin De Bruyne,4-3-3-0,Mike Dean,23,1,4.3,0.04,1.0,18.2,1.0,0,0,season 4,0.0
117,2020-10-17,17:30 (12:30),Premier League,Matchweek 5,Sat,Home,W,1.0,0.0,Arsenal,1.3,0.9,58.0,Raheem Sterling,3-1-4-2,Chris Kavanagh,13,5,38.5,0.08,0.2,17.7,0.0,0,0,season 4,1.0
118,2020-10-24,12:30 (07:30),Premier League,Matchweek 6,Sat,Away,D,1.0,1.0,West Ham,1.0,0.3,69.0,Raheem Sterling,4-3-3-0,Anthony Taylor,14,7,50.0,0.07,0.14,20.9,1.0,0,0,season 4,0.0
119,2020-10-31,12:30 (08:30),Premier League,Matchweek 7,Sat,Away,W,1.0,0.0,Sheffield Utd,1.6,0.5,65.0,Kevin De Bruyne,4-3-3-0,Michael Oliver,16,8,50.0,0.06,0.13,18.5,2.0,0,0,season 4,1.0
120,2020-11-08,16:30 (11:30),Premier League,Matchweek 8,Sun,Home,D,1.0,1.0,Liverpool,1.4,1.2,54.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,6,2,33.3,0.17,0.5,20.6,0.0,0,1,season 4,0.0
121,2020-11-21,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,L,0.0,2.0,Tottenham,1.4,0.7,66.0,Kevin De Bruyne,4-3-3-0,Mike Dean,22,5,22.7,0.0,0.0,16.0,0.0,0,0,season 4,-2.0
122,2020-11-28,15:00 (10:00),Premier League,Matchweek 10,Sat,Home,W,5.0,0.0,Burnley,1.7,0.5,68.0,Kevin De Bruyne,4-2-3-1,Lee Mason,19,6,31.6,0.26,0.83,16.4,0.0,0,0,season 4,5.0
123,2020-12-05,15:00 (10:00),Premier League,Matchweek 11,Sat,Home,W,2.0,0.0,Fulham,2.9,0.3,69.0,Kevin De Bruyne,4-2-3-1,Jonathan Moss,14,4,28.6,0.07,0.25,15.9,0.0,1,1,season 4,2.0
124,2020-12-12,17:30 (12:30),Premier League,Matchweek 12,Sat,Away,D,0.0,0.0,Manchester Utd,1.3,0.6,54.0,Fernandinho,4-2-3-1,Chris Kavanagh,9,2,22.2,0.0,0.0,18.3,1.0,0,0,season 4,0.0
125,2020-12-15,20:00 (15:00),Premier League,Matchweek 13,Tue,Home,D,1.0,1.0,West Brom,2.2,0.4,77.0,Kevin De Bruyne,4-2-3-1,Peter Bankes,26,7,26.9,0.04,0.14,17.1,2.0,0,0,season 4,0.0
126,2020-12-19,15:00 (10:00),Premier League,Matchweek 14,Sat,Away,W,1.0,0.0,Southampton,0.9,0.7,52.0,Kevin De Bruyne,4-2-3-1,Mike Dean,11,5,45.5,0.09,0.2,20.1,0.0,0,0,season 4,1.0
127,2020-12-26,20:00 (15:00),Premier League,Matchweek 15,Sat,Home,W,2.0,0.0,Newcastle Utd,3.0,0.3,74.0,Kevin De Bruyne,3-4-3-0,Andre Marriner,11,6,54.5,0.18,0.33,12.3,0.0,0,0,season 4,2.0
128,2021-01-03,16:30 (11:30),Premier League,Matchweek 17,Sun,Away,W,3.0,1.0,Chelsea,2.7,0.8,46.0,Kevin De Bruyne,4-3-3-0,Anthony Taylor,18,6,33.3,0.17,0.5,15.1,1.0,0,0,season 4,2.0
129,2021-01-13,18:00 (13:00),Premier League,Matchweek 18,Wed,Home,W,1.0,0.0,Brighton,2.0,0.2,65.0,Kevin De Bruyne,4-3-3-0,Darren England,15,6,40.0,0.07,0.17,16.9,0.0,0,1,season 4,1.0
130,2021-01-17,19:15 (14:15),Premier League,Matchweek 19,Sun,Home,W,4.0,0.0,Crystal Palace,0.7,0.1,71.0,Fernandinho,4-3-3-0,Lee Mason,13,6,46.2,0.31,0.67,19.1,2.0,0,0,season 4,4.0
131,2021-01-20,18:00 (13:00),Premier League,Matchweek 1,Wed,Home,W,2.0,0.0,Aston Villa,3.4,0.6,69.0,Kevin De Bruyne,4-3-3-0,Jonathan Moss,27,8,29.6,0.04,0.13,15.8,0.0,1,1,season 4,2.0
132,2021-01-26,20:15 (15:15),Premier League,Matchweek 20,Tue,Away,W,5.0,0.0,West Brom,1.8,0.5,77.0,Raheem Sterling,4-3-3-0,Chris Kavanagh,18,7,38.9,0.28,0.71,17.4,0.0,0,0,season 4,5.0
133,2021-01-30,15:00 (10:00),Premier League,Matchweek 21,Sat,Home,W,1.0,0.0,Sheffield Utd,1.5,0.2,75.0,Fernandinho,4-3-3-0,David Coote,10,5,50.0,0.1,0.2,17.2,0.0,0,0,season 4,1.0
134,2021-02-03,18:00 (13:00),Premier League,Matchweek 22,Wed,Away,W,2.0,0.0,Burnley,2.0,0.1,74.0,Raheem Sterling,4-3-3-0,Martin Atkinson,13,6,46.2,0.15,0.33,15.5,0.0,0,0,season 4,2.0
135,2021-02-07,16:30 (11:30),Premier League,Matchweek 23,Sun,Away,W,4.0,1.0,Liverpool,3.5,1.2,44.0,Raheem Sterling,4-3-3-0,Michael Oliver,7,5,71.4,0.57,0.8,13.4,0.0,0,1,season 4,3.0
136,2021-02-13,17:30 (12:30),Premier League,Matchweek 24,Sat,Home,W,3.0,0.0,Tottenham,2.2,0.3,60.0,Raheem Sterling,4-3-3-0,Paul Tierney,14,5,35.7,0.14,0.4,16.3,0.0,1,1,season 4,3.0
137,2021-02-17,20:15 (15:15),Premier League,Matchweek 16,Wed,Away,W,3.0,1.0,Everton,1.0,1.0,71.0,Raheem Sterling,4-3-3-0,Andre Marriner,16,7,43.8,0.19,0.43,17.9,0.0,0,0,season 4,2.0
138,2021-02-21,16:30 (11:30),Premier League,Matchweek 25,Sun,Away,W,1.0,0.0,Arsenal,1.8,0.3,55.0,Fernandinho,4-3-3-0,Jonathan Moss,15,3,20.0,0.07,0.33,16.2,0.0,0,0,season 4,1.0
139,2021-02-27,12:30 (07:30),Premier League,Matchweek 26,Sat,Home,W,2.0,1.0,West Ham,0.5,1.5,63.0,Fernandinho,4-3-3-0,Michael Oliver,10,3,30.0,0.2,0.67,20.4,0.0,0,0,season 4,1.0
140,2021-03-02,20:00 (15:00),Premier League,Matchweek 29,Tue,Home,W,4.0,1.0,Wolves,3.3,0.3,72.0,Kevin De Bruyne,4-3-3-0,Chris Kavanagh,22,10,45.5,0.14,0.3,14.6,0.0,0,0,season 4,3.0
141,2021-03-07,16:30 (11:30),Premier League,Matchweek 27,Sun,Home,L,0.0,2.0,Manchester Utd,1.3,1.7,66.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,23,6,26.1,0.0,0.0,18.7,1.0,0,0,season 4,-2.0
142,2021-03-10,18:00 (13:00),Premier League,Matchweek 33,Wed,Home,W,5.0,2.0,Southampton,2.6,1.6,58.0,Fernandinho,4-3-3-0,Jonathan Moss,17,10,58.8,0.29,0.5,16.0,0.0,0,0,season 4,3.0
143,2021-03-13,20:00 (15:00),Premier League,Matchweek 28,Sat,Away,W,3.0,0.0,Fulham,2.2,0.3,54.0,Sergio Agüero,3-4-3-0,Andre Marriner,7,6,85.7,0.29,0.33,15.3,0.0,1,1,season 4,3.0
144,2021-04-03,17:30 (12:30),Premier League,Matchweek 30,Sat,Away,W,2.0,0.0,Leicester City,1.4,0.3,56.0,Fernandinho,4-2-3-1,Anthony Taylor,11,4,36.4,0.18,0.5,14.5,1.0,0,0,season 4,2.0
145,2021-04-10,12:30 (07:30),Premier League,Matchweek 31,Sat,Home,L,1.0,2.0,Leeds United,2.1,0.1,71.0,Fernandinho,4-3-3-0,Andre Marriner,29,7,24.1,0.03,0.14,18.9,1.0,0,0,season 4,-1.0
146,2021-04-21,20:15 (15:15),Premier League,Matchweek 32,Wed,Away,W,2.0,1.0,Aston Villa,1.2,0.7,72.0,İlkay Gündoğan,4-3-3-0,Peter Bankes,13,3,23.1,0.15,0.67,19.3,2.0,0,0,season 4,1.0
147,2021-05-01,12:30 (07:30),Premier League,Matchweek 34,Sat,Away,W,2.0,0.0,Crystal Palace,1.7,0.9,68.0,Fernandinho,4-4-1-1,David Coote,20,3,15.0,0.1,0.67,14.6,1.0,0,0,season 4,2.0
148,2021-05-08,17:30 (12:30),Premier League,Matchweek 35,Sat,Home,L,1.0,2.0,Chelsea,1.8,0.7,48.0,Raheem Sterling,3-1-4-2,Anthony Taylor,15,3,20.0,0.07,0.33,20.0,0.0,0,1,season 4,-1.0
149,2021-05-14,20:00 (15:00),Premier League,Matchweek 36,Fri,Away,W,4.0,3.0,Newcastle Utd,1.5,2.2,82.0,Raheem Sterling,4-3-3-0,Kevin Friend,15,6,40.0,0.27,0.67,20.0,1.0,0,0,season 4,1.0
150,2021-05-18,19:00 (14:00),Premier League,Matchweek 37,Tue,Away,L,2.0,3.0,Brighton,0.9,1.1,37.0,İlkay Gündoğan,4-3-3-0,Stuart Attwell,8,4,50.0,0.25,0.5,14.2,1.0,0,0,season 4,-1.0
151,2021-05-23,16:00 (11:00),Premier League,Matchweek 38,Sun,Home,W,5.0,0.0,Everton,2.5,1.1,67.0,Fernandinho,4-3-3-0,Michael Oliver,21,11,52.4,0.24,0.45,15.6,0.0,0,0,season 4,5.0
152,2021-08-15,16:30 (11:30),Premier League,Matchweek 1,Sun,Away,L,0.0,1.0,Tottenham,2.0,1.0,65.0,Fernandinho,4-3-3-0,Anthony Taylor,18,4,22.2,0.0,0.0,17.3,1.0,0,0,season 5,-1.0
153,2021-08-21,15:00 (10:00),Premier League,Matchweek 2,Sat,Home,W,5.0,0.0,Norwich City,2.7,0.1,67.0,İlkay Gündoğan,4-3-3-0,Graham Scott,16,4,25.0,0.25,1.0,18.5,1.0,0,0,season 5,5.0
154,2021-08-28,12:30 (07:30),Premier League,Matchweek 3,Sat,Home,W,5.0,0.0,Arsenal,4.0,0.2,80.0,İlkay Gündoğan,4-3-3-0,Martin Atkinson,25,10,40.0,0.2,0.5,14.8,0.0,0,0,season 5,5.0
155,2021-09-11,15:00 (10:00),Premier League,Matchweek 4,Sat,Away,W,1.0,0.0,Leicester City,3.3,0.6,61.0,İlkay Gündoğan,4-3-3-0,Paul Tierney,25,8,32.0,0.04,0.13,14.3,0.0,0,0,season 5,1.0
156,2021-09-18,15:00 (10:00),Premier League,Matchweek 5,Sat,Home,D,0.0,0.0,Southampton,1.2,0.5,64.0,Fernandinho,4-3-3-0,Jonathan Moss,16,1,6.3,0.0,0.0,16.4,1.0,0,0,season 5,0.0
157,2021-09-25,12:30 (07:30),Premier League,Matchweek 6,Sat,Away,W,1.0,0.0,Chelsea,1.4,0.2,59.0,Rúben Dias,4-3-3-0,Michael Oliver,15,3,20.0,0.07,0.33,17.1,0.0,0,0,season 5,1.0
158,2021-10-03,16:30 (11:30),Premier League,Matchweek 7,Sun,Away,D,2.0,2.0,Liverpool,1.7,0.8,51.0,Rúben Dias,4-3-3-0,Paul Tierney,12,3,25.0,0.17,0.67,17.0,1.0,0,0,season 5,0.0
159,2021-10-16,15:00 (10:00),Premier League,Matchweek 8,Sat,Home,W,2.0,0.0,Burnley,2.2,0.8,70.0,Kevin De Bruyne,4-3-3-0,Martin Atkinson,15,6,40.0,0.13,0.33,14.4,0.0,0,0,season 5,2.0
160,2021-10-23,17:30 (12:30),Premier League,Matchweek 9,Sat,Away,W,4.0,1.0,Brighton,4.0,1.4,52.0,İlkay Gündoğan,4-3-3-0,Kevin Friend,23,12,52.2,0.17,0.33,16.0,1.0,0,0,season 5,3.0
161,2021-10-30,15:00 (10:00),Premier League,Matchweek 10,Sat,Home,L,0.0,2.0,Crystal Palace,1.1,0.8,68.0,Rúben Dias,4-3-3-0,Andre Marriner,14,3,21.4,0.0,0.0,17.6,0.0,0,0,season 5,-2.0
162,2021-11-06,12:30 (08:30),Premier League,Matchweek 11,Sat,Away,W,2.0,0.0,Manchester Utd,2.3,0.8,67.0,İlkay Gündoğan,4-3-3-0,Michael Oliver,16,5,31.3,0.06,0.2,14.7,0.0,0,0,season 5,2.0
163,2021-11-21,14:00 (09:00),Premier League,Matchweek 12,Sun,Home,W,3.0,0.0,Everton,2.6,0.2,77.0,İlkay Gündoğan,4-3-3-0,Stuart Attwell,17,7,41.2,0.18,0.43,16.4,1.0,0,0,season 5,3.0
164,2021-11-28,14:00 (09:00),Premier League,Matchweek 13,Sun,Home,W,2.0,1.0,West Ham,2.4,0.2,68.0,İlkay Gündoğan,4-3-3-0,Michael Oliver,19,8,42.1,0.11,0.25,16.0,0.0,0,0,season 5,1.0
165,2021-12-01,20:15 (15:15),Premier League,Matchweek 14,Wed,Away,W,2.0,1.0,Aston Villa,1.2,0.9,64.0,Fernandinho,4-2-3-1,Mike Dean,17,7,41.2,0.12,0.29,19.2,1.0,0,0,season 5,1.0
166,2021-12-04,17:30 (12:30),Premier League,Matchweek 15,Sat,Away,W,3.0,1.0,Watford,3.5,0.9,77.0,İlkay Gündoğan,4-3-3-0,Simon Hooper,26,12,46.2,0.12,0.25,14.4,0.0,0,0,season 5,2.0
167,2021-12-11,12:30 (07:30),Premier League,Matchweek 16,Sat,Home,W,1.0,0.0,Wolves,3.5,0.1,71.0,İlkay Gündoğan,4-3-3-0,Jonathan Moss,23,8,34.8,0.0,0.0,15.7,0.0,1,1,season 5,1.0
168,2021-12-14,20:00 (15:00),Premier League,Matchweek 17,Tue,Home,W,7.0,0.0,Leeds United,3.2,0.3,63.0,Rúben Dias,4-2-3-1,Paul Tierney,31,15,48.4,0.23,0.47,17.3,2.0,0,0,season 5,7.0
169,2021-12-19,14:15 (09:15),Premier League,Matchweek 18,Sun,Away,W,4.0,0.0,Newcastle Utd,2.9,0.4,71.0,Rúben Dias,4-2-3-1,Martin Atkinson,18,7,38.9,0.22,0.57,12.9,0.0,0,0,season 5,4.0
170,2021-12-26,15:00 (10:00),Premier League,Matchweek 19,Sun,Home,W,6.0,3.0,Leicester City,3.9,2.4,72.0,Fernandinho,4-3-3-0,Chris Kavanagh,15,6,40.0,0.27,0.67,17.5,1.0,2,2,season 5,3.0
171,2021-12-29,20:15 (15:15),Premier League,Matchweek 20,Wed,Away,W,1.0,0.0,Brentford,1.0,0.6,76.0,Fernandinho,4-3-3-0,David Coote,12,3,25.0,0.08,0.33,19.8,0.0,0,0,season 5,1.0
172,2022-01-01,12:30 (07:30),Premier League,Matchweek 21,Sat,Away,W,2.0,1.0,Arsenal,2.2,0.9,71.0,Rúben Dias,4-2-3-1,Stuart Attwell,14,1,7.1,0.07,1.0,18.7,0.0,1,1,season 5,1.0
173,2022-01-15,12:30 (07:30),Premier League,Matchweek 22,Sat,Home,W,1.0,0.0,Chelsea,0.9,0.4,56.0,Kevin De Bruyne,4-2-3-1,Craig Pawson,11,6,54.5,0.09,0.17,16.5,1.0,0,0,season 5,1.0
174,2022-01-22,17:30 (12:30),Premier League,Matchweek 23,Sat,Away,D,1.0,1.0,Southampton,1.9,0.7,74.0,Rúben Dias,4-3-3-0,Simon Hooper,20,5,25.0,0.05,0.2,17.5,0.0,0,0,season 5,0.0
175,2022-02-09,19:45 (14:45),Premier League,Matchweek 24,Wed,Home,W,2.0,0.0,Brentford,1.8,0.6,74.0,Rúben Dias,4-3-3-0,Darren England,14,6,42.9,0.07,0.17,19.8,0.0,1,1,season 5,2.0
176,2022-02-12,17:30 (12:30),Premier League,Matchweek 25,Sat,Away,W,4.0,0.0,Norwich City,4.9,0.5,71.0,Fernandinho,4-3-3-0,Andre Marriner,21,8,38.1,0.19,0.5,11.8,0.0,0,1,season 5,4.0
177,2022-02-19,17:30 (12:30),Premier League,Matchweek 26,Sat,Home,L,2.0,3.0,Tottenham,2.6,1.1,71.0,İlkay Gündoğan,4-3-3-0,Anthony Taylor,20,3,15.0,0.05,0.33,16.2,0.0,1,1,season 5,-1.0
178,2022-02-26,17:30 (12:30),Premier League,Matchweek 27,Sat,Away,W,1.0,0.0,Everton,1.9,0.5,67.0,İlkay Gündoğan,4-3-3-0,Paul Tierney,13,8,61.5,0.08,0.13,16.3,0.0,0,0,season 5,1.0
179,2022-03-06,16:30 (11:30),Premier League,Matchweek 28,Sun,Home,W,4.0,1.0,Manchester Utd,3.1,0.5,69.0,Kevin De Bruyne,4-3-3-0,Michael Oliver,24,10,41.7,0.17,0.4,15.2,1.0,0,0,season 5,3.0
180,2022-03-14,20:00 (16:00),Premier League,Matchweek 29,Mon,Away,D,0.0,0.0,Crystal Palace,2.9,0.8,73.0,Kevin De Bruyne,4-3-3-0,Martin Atkinson,19,4,21.1,0.0,0.0,17.2,0.0,0,0,season 5,0.0
181,2022-04-02,15:00 (10:00),Premier League,Matchweek 31,Sat,Away,W,2.0,0.0,Burnley,2.0,0.1,76.0,İlkay Gündoğan,4-3-3-0,Craig Pawson,18,6,33.3,0.11,0.33,16.5,0.0,0,0,season 5,2.0
182,2022-04-10,16:30 (11:30),Premier League,Matchweek 32,Sun,Home,D,2.0,2.0,Liverpool,1.6,1.2,55.0,Kevin De Bruyne,4-2-3-1,Anthony Taylor,11,4,36.4,0.18,0.5,17.8,1.0,0,0,season 5,0.0
183,2022-04-20,20:00 (15:00),Premier League,Matchweek 30,Wed,Home,W,3.0,0.0,Brighton,1.6,0.2,65.0,İlkay Gündoğan,4-3-3-0,Mike Dean,17,5,29.4,0.18,0.6,20.0,0.0,0,0,season 5,3.0
184,2022-04-23,15:00 (10:00),Premier League,Matchweek 34,Sat,Home,W,5.0,1.0,Watford,3.9,0.4,73.0,Fernandinho,4-2-3-1,Kevin Friend,20,7,35.0,0.2,0.57,14.6,0.0,1,1,season 5,4.0
185,2022-04-30,17:30 (12:30),Premier League,Matchweek 35,Sat,Away,W,4.0,0.0,Leeds United,2.5,1.3,58.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,19,6,31.6,0.21,0.67,16.2,0.0,0,0,season 5,4.0
186,2022-05-08,16:30 (11:30),Premier League,Matchweek 36,Sun,Home,W,5.0,0.0,Newcastle Utd,3.3,0.8,71.0,İlkay Gündoğan,4-2-3-1,Stuart Attwell,21,9,42.9,0.24,0.56,16.0,1.0,0,0,season 5,5.0
187,2022-05-11,20:15 (15:15),Premier League,Matchweek 33,Wed,Away,W,5.0,1.0,Wolves,2.8,0.5,66.0,Fernandinho,4-2-3-1,Martin Atkinson,15,5,33.3,0.33,1.0,14.7,0.0,0,0,season 5,4.0
188,2022-05-15,14:00 (09:00),Premier League,Matchweek 37,Sun,Away,D,2.0,2.0,West Ham,2.9,1.8,78.0,Fernandinho,4-3-3-0,Anthony Taylor,30,7,23.3,0.03,0.14,18.6,2.0,0,1,season 5,0.0
189,2022-05-22,16:00 (11:00),Premier League,Matchweek 38,Sun,Home,W,3.0,2.0,Aston Villa,3.7,0.3,71.0,Fernandinho,4-3-3-0,Michael Oliver,24,5,20.8,0.13,0.6,14.2,1.0,0,0,season 5,1.0
190,2022-08-07,16:30,Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,West Ham,2.2,0.5,75.0,İlkay Gündoğan,4-3-3,Michael Oliver,13,1,7.7,0.08,1.0,18.7,1.0,1,1,season 6,2.0
191,2022-08-13,15:00,Premier League,Matchweek 2,Sat,Home,W,4.0,0.0,Bournemouth,1.7,0.1,67.0,İlkay Gündoğan,4-2-3-1,David Coote,19,7,36.8,0.16,0.43,17.5,0.0,0,0,season 6,4.0
192,2022-08-21,16:30,Premier League,Matchweek 3,Sun,Away,D,3.0,3.0,Newcastle Utd,2.1,1.8,69.0,İlkay Gündoğan,4-3-3,Jarred Gillett,21,10,47.6,0.14,0.3,16.2,1.0,0,0,season 6,0.0
193,2022-08-27,15:00,Premier League,Matchweek 4,Sat,Home,W,4.0,2.0,Crystal Palace,2.2,0.1,74.0,Kevin De Bruyne,4-2-3-1,Darren England,18,5,27.8,0.22,0.8,14.1,0.0,0,0,season 6,2.0
194,2022-08-31,19:30,Premier League,Matchweek 5,Wed,Home,W,6.0,0.0,Nott'ham Forest,3.3,0.7,74.0,İlkay Gündoğan,4-2-3-1,Paul Tierney,17,9,52.9,0.35,0.67,14.8,0.0,0,0,season 6,6.0
195,2022-09-03,17:30,Premier League,Matchweek 6,Sat,Away,D,1.0,1.0,Aston Villa,2.1,0.3,71.0,İlkay Gündoğan,4-3-3,Simon Hooper,13,4,30.8,0.08,0.25,16.8,1.0,0,0,season 6,0.0
196,2022-09-17,12:30,Premier League,Matchweek 8,Sat,Away,W,3.0,0.0,Wolves,1.1,0.4,59.0,Kevin De Bruyne,4-3-3,Anthony Taylor,16,7,43.8,0.19,0.43,19.4,0.0,0,0,season 6,3.0
197,2022-10-02,14:00,Premier League,Matchweek 9,Sun,Home,W,6.0,3.0,Manchester Utd,3.2,1.7,53.0,İlkay Gündoğan,4-3-3,Michael Oliver,22,9,40.9,0.27,0.67,14.2,1.0,0,0,season 6,3.0
198,2022-10-08,15:00,Premier League,Matchweek 10,Sat,Home,W,4.0,0.0,Southampton,2.4,0.2,65.0,Kevin De Bruyne,4-2-3-1,Andy Madley,21,8,38.1,0.19,0.5,13.9,0.0,0,0,season 6,4.0
199,2022-10-16,16:30,Premier League,Matchweek 11,Sun,Away,L,0.0,1.0,Liverpool,1.0,2.1,63.0,İlkay Gündoğan,3-4-3,Anthony Taylor,16,6,37.5,0.0,0.0,18.4,0.0,0,0,season 6,-1.0
200,2022-10-22,15:00,Premier League,Matchweek 13,Sat,Home,W,3.0,1.0,Brighton,1.6,0.5,48.0,Kevin De Bruyne,4-3-3,Craig Pawson,9,3,33.3,0.22,0.67,15.0,0.0,1,1,season 6,2.0
201,2022-10-29,12:30,Premier League,Matchweek 14,Sat,Away,W,1.0,0.0,Leicester City,1.0,0.7,64.0,İlkay Gündoğan,4-3-3,Robert Jones,15,5,33.3,0.07,0.2,20.8,1.0,0,0,season 6,1.0
202,2022-11-05,15:00,Premier League,Matchweek 15,Sat,Home,W,2.0,1.0,Fulham,2.1,1.0,70.0,İlkay Gündoğan,4-3-3,Darren England,15,4,26.7,0.07,0.25,18.1,1.0,1,1,season 6,1.0
203,2022-11-12,12:30,Premier League,Matchweek 16,Sat,Home,L,1.0,2.0,Brentford,1.6,1.3,74.0,İlkay Gündoğan,4-3-3,Peter Bankes,29,6,20.7,0.03,0.17,20.9,0.0,0,0,season 6,-1.0
