,Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Captain,Formation,Referee,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Season,Goal_diff
24,2018-01-31,20:00 (15:00),Premier League,Matchweek 25,Wed,Home,W,3.0,0.0,West Brom,2.3,0.2,73.0,David Silva,4-3-3-0,Robert Madley,19,10,52.6,0.16,0.3,18.5,2.0,0,0,season 1,3.0
25,2018-02-03,12:30 (07:30),Premier League,Matchweek 26,Sat,Away,D,1.0,1.0,Burnley,1.8,0.9,70.0,Vincent Kompany,4-3-3-0,Martin Atkinson,20,7,35.0,0.05,0.14,18.8,1.0,0,0,season 1,0.0
26,2018-02-10,17:30 (12:30),Premier League,Matchweek 27,Sat,Home,W,5.0,1.0,Leicester City,2.5,0.1,70.0,Fernandinho,4-3-3-0,Mike Jones,19,10,52.6,0.26,0.5,16.1,0.0,0,0,season 1,4.0
27,2018-03-01,19:45 (14:45),Premier League,Matchweek 28,Thu,Away,W,3.0,0.0,Arsenal,1.5,1.3,54.0,Vincent Kompany,4-3-3-0,Andre Marriner,9,5,55.6,0.33,0.6,15.5,0.0,0,0,season 1,3.0
28,2018-03-04,16:00 (11:00),Premier League,Matchweek 29,Sun,Home,W,1.0,0.0,Chelsea,0.9,0.1,71.0,David Silva,4-3-3-0,Michael Oliver,13,2,15.4,0.08,0.5,16.7,0.0,0,0,season 1,1.0
29,2018-03-12,20:00 (16:00),Premier League,Matchweek 30,Mon,Away,W,2.0,0.0,Stoke City,1.6,0.4,76.0,Vincent Kompany,4-3-3-0,Jonathan Moss,17,6,35.3,0.12,0.33,17.7,0.0,0,0,season 1,2.0
30,2018-03-31,17:30 (12:30),Premier League,Matchweek 32,Sat,Away,W,3.0,1.0,Everton,1.5,0.9,81.0,Vincent Kompany,3-5-2-0,Paul Tierney,18,4,22.2,0.17,0.75,20.2,0.0,0,0,season 1,2.0
31,2018-04-07,17:30 (12:30),Premier League,Matchweek 33,Sat,Home,L,2.0,3.0,Manchester Utd,2.6,1.1,64.0,Vincent Kompany,4-3-3-0,Martin Atkinson,20,6,30.0,0.1,0.33,16.9,1.0,0,0,season 1,-1.0
32,2018-04-14,19:45 (14:45),Premier League,Matchweek 34,Sat,Away,W,3.0,1.0,Tottenham,2.9,0.4,52.0,Vincent Kompany,4-3-3-0,Jonathan Moss,16,5,31.3,0.13,0.4,18.0,2.0,1,1,season 1,2.0
33,2018-04-22,16:30 (11:30),Premier League,Matchweek 35,Sun,Home,W,5.0,0.0,Swansea City,3.2,0.3,82.0,Vincent Kompany,4-3-3-0,Craig Pawson,18,11,61.1,0.28,0.45,16.7,1.0,0,1,season 1,5.0
34,2018-04-29,14:15 (09:15),Premier League,Matchweek 36,Sun,Away,W,4.0,1.0,West Ham,2.4,0.2,74.0,Fernandinho,4-3-3-0,Niel Swarbrick,19,7,36.8,0.16,0.43,19.2,1.0,0,0,season 1,3.0
35,2018-05-06,13:30 (08:30),Premier League,Matchweek 37,Sun,Home,D,0.0,0.0,Huddersfield,0.8,0.2,78.0,David Silva,4-3-3-0,Mike Dean,15,2,13.3,0.0,0.0,19.3,0.0,0,0,season 1,0.0
36,2018-05-09,20:00 (15:00),Premier League,Matchweek 31,Wed,Home,W,3.0,1.0,Brighton,1.6,1.2,73.0,Yaya Touré,4-3-3-0,Paul Tierney,19,7,36.8,0.16,0.43,19.3,1.0,0,0,season 1,2.0
37,2018-05-13,15:00 (10:00),Premier League,Matchweek 38,Sun,Away,W,1.0,0.0,Southampton,0.8,0.5,69.0,Fernandinho,4-3-3-0,Andre Marriner,13,2,15.4,0.08,0.5,21.2,1.0,0,0,season 1,1.0
38,2018-08-12,16:00 (11:00),Premier League,Matchweek 1,Sun,Away,W,2.0,0.0,Arsenal,1.7,0.5,58.0,Fernandinho,4-2-3-1,Michael Oliver,17,8,47.1,0.12,0.25,18.2,1.0,0,0,season 2,2.0
39,2018-08-19,13:30 (08:30),Premier League,Matchweek 2,Sun,Home,W,6.0,1.0,Huddersfield,4.2,0.7,76.0,Vincent Kompany,3-1-4-2,Andre Marriner,32,14,43.8,0.16,0.36,18.0,1.0,0,0,season 2,5.0
40,2018-08-25,12:30 (07:30),Premier League,Matchweek 3,Sat,Away,D,1.0,1.0,Wolves,1.6,1.0,71.0,Vincent Kompany,4-3-3-0,Martin Atkinson,18,6,33.3,0.06,0.17,18.6,1.0,0,0,season 2,0.0
41,2018-09-01,17:30 (12:30),Premier League,Matchweek 4,Sat,Home,W,2.0,1.0,Newcastle Utd,2.0,0.5,78.0,David Silva,4-1-3-2,Kevin Friend,24,8,33.3,0.08,0.25,17.5,3.0,0,0,season 2,1.0
42,2018-09-15,15:00 (10:00),Premier League,Matchweek 5,Sat,Home,W,3.0,0.0,Fulham,4.8,0.4,64.0,David Silva,4-3-3-0,Stuart Attwell,28,9,32.1,0.11,0.33,16.6,1.0,0,0,season 2,3.0
43,2018-09-22,15:00 (10:00),Premier League,Matchweek 6,Sat,Away,W,5.0,0.0,Cardiff City,2.5,0.1,78.0,Fernandinho,4-3-3-0,Michael Oliver,21,10,47.6,0.24,0.5,13.9,1.0,0,0,season 2,5.0
44,2018-09-29,15:00 (10:00),Premier League,Matchweek 7,Sat,Home,W,2.0,0.0,Brighton,2.7,0.2,79.0,David Silva,4-3-3-0,Lee Mason,28,8,28.6,0.07,0.25,15.9,0.0,0,0,season 2,2.0
45,2018-10-07,16:30 (11:30),Premier League,Matchweek 8,Sun,Away,D,0.0,0.0,Liverpool,1.0,0.4,51.0,David Silva,4-2-3-1,Martin Atkinson,5,2,40.0,0.0,0.0,19.1,0.0,0,1,season 2,0.0
46,2018-10-20,15:00 (10:00),Premier League,Matchweek 9,Sat,Home,W,5.0,0.0,Burnley,4.0,0.4,69.0,Vincent Kompany,4-3-3-0,Jonathan Moss,24,10,41.7,0.21,0.5,12.7,0.0,0,0,season 2,5.0
47,2018-10-29,20:00 (16:00),Premier League,Matchweek 10,Mon,Away,W,1.0,0.0,Tottenham,1.6,0.4,51.0,David Silva,4-3-3-0,Kevin Friend,13,5,38.5,0.08,0.2,15.7,1.0,0,0,season 2,1.0
48,2018-11-04,15:00 (10:00),Premier League,Matchweek 11,Sun,Home,W,6.0,1.0,Southampton,2.2,2.0,66.0,David Silva,4-3-3-0,Lee Mason,18,8,44.4,0.28,0.63,15.7,1.0,0,0,season 2,5.0
49,2018-11-11,16:30 (11:30),Premier League,Matchweek 12,Sun,Home,W,3.0,1.0,Manchester Utd,1.9,1.1,65.0,David Silva,4-3-3-0,Anthony Taylor,17,5,29.4,0.18,0.6,18.8,0.0,0,0,season 2,2.0
50,2018-11-24,15:00 (10:00),Premier League,Matchweek 13,Sat,Away,W,4.0,0.0,West Ham,2.7,0.9,69.0,David Silva,4-3-3-0,Andre Marriner,9,6,66.7,0.44,0.67,10.5,0.0,0,0,season 2,4.0
51,2018-12-01,15:00 (10:00),Premier League,Matchweek 14,Sat,Home,W,3.0,1.0,Bournemouth,2.6,0.6,72.0,Fernandinho,4-3-3-0,Stuart Attwell,16,6,37.5,0.19,0.5,14.7,0.0,0,0,season 2,2.0
52,2018-12-04,20:00 (15:00),Premier League,Matchweek 15,Tue,Away,W,2.0,1.0,Watford,2.5,1.8,70.0,Vincent Kompany,4-3-3-0,Paul Tierney,15,7,46.7,0.13,0.29,14.8,0.0,0,0,season 2,1.0
53,2018-12-08,17:30 (12:30),Premier League,Matchweek 16,Sat,Away,L,0.0,2.0,Chelsea,0.9,0.6,61.0,David Silva,4-3-3-0,Michael Oliver,14,4,28.6,0.0,0.0,19.7,1.0,0,0,season 2,-2.0
54,2018-12-15,12:30 (07:30),Premier League,Matchweek 17,Sat,Home,W,3.0,1.0,Everton,1.7,1.5,67.0,Fernandinho,4-3-3-0,Craig Pawson,13,5,38.5,0.23,0.6,16.5,0.0,0,0,season 2,2.0
55,2018-12-22,15:00 (10:00),Premier League,Matchweek 18,Sat,Home,L,2.0,3.0,Crystal Palace,1.5,0.9,78.0,Fabian Delph,4-3-3-0,Andre Marriner,19,5,26.3,0.11,0.4,18.5,1.0,0,0,season 2,-1.0
56,2018-12-26,15:00 (10:00),Premier League,Matchweek 19,Wed,Away,L,1.0,2.0,Leicester City,1.4,1.3,66.0,Sergio Agüero,4-3-3-0,Mike Dean,11,4,36.4,0.09,0.25,18.7,0.0,0,0,season 2,-1.0
57,2018-12-30,14:15 (09:15),Premier League,Matchweek 20,Sun,Away,W,3.0,1.0,Southampton,2.5,0.2,76.0,Vincent Kompany,4-3-3-0,Paul Tierney,14,6,42.9,0.14,0.33,12.8,0.0,0,0,season 2,2.0
58,2019-01-03,20:00 (15:00),Premier League,Matchweek 21,Thu,Home,W,2.0,1.0,Liverpool,1.1,1.5,49.0,Vincent Kompany,4-3-3-0,Anthony Taylor,9,4,44.4,0.22,0.5,21.8,0.0,0,0,season 2,1.0
59,2019-01-14,20:00 (15:00),Premier League,Matchweek 22,Mon,Home,W,3.0,0.0,Wolves,2.8,0.1,76.0,David Silva,4-3-3-0,Craig Pawson,23,8,34.8,0.04,0.13,20.3,0.0,1,1,season 2,3.0
60,2019-01-20,13:30 (08:30),Premier League,Matchweek 23,Sun,Away,W,3.0,0.0,Huddersfield,2.0,0.9,67.0,Fernandinho,4-3-3-0,Andre Marriner,12,4,33.3,0.25,0.75,13.8,0.0,0,0,season 2,3.0
61,2019-01-29,20:00 (15:00),Premier League,Matchweek 24,Tue,Away,L,1.0,2.0,Newcastle Utd,1.4,1.1,75.0,David Silva,4-3-3-0,Paul Tierney,12,3,25.0,0.08,0.33,16.2,1.0,0,0,season 2,-1.0
62,2019-02-03,16:30 (11:30),Premier League,Matchweek 25,Sun,Home,W,3.0,1.0,Arsenal,2.7,0.7,59.0,David Silva,4-3-3-0,Martin Atkinson,19,12,63.2,0.16,0.25,17.5,1.0,0,0,season 2,2.0
63,2019-02-06,19:45 (14:45),Premier League,Matchweek 27,Wed,Away,W,2.0,0.0,Everton,2.2,0.1,61.0,David Silva,4-3-3-0,Craig Pawson,15,4,26.7,0.13,0.5,13.3,0.0,0,0,season 2,2.0
64,2019-02-10,16:00 (11:00),Premier League,Matchweek 26,Sun,Home,W,6.0,0.0,Chelsea,3.0,0.9,56.0,Fernandinho,4-3-3-0,Mike Dean,14,8,57.1,0.36,0.63,16.5,1.0,1,1,season 2,6.0
65,2019-02-27,20:00 (15:00),Premier League,Matchweek 28,Wed,Home,W,1.0,0.0,West Ham,3.5,0.4,75.0,Vincent Kompany,4-3-3-0,Stuart Attwell,19,5,26.3,0.0,0.0,15.8,0.0,1,1,season 2,1.0
66,2019-03-02,15:00 (10:00),Premier League,Matchweek 29,Sat,Away,W,1.0,0.0,Bournemouth,1.2,0.0,81.0,David Silva,4-3-3-0,Kevin Friend,23,7,30.4,0.04,0.14,17.9,0.0,0,0,season 2,1.0
67,2019-03-09,17:30 (12:30),Premier League,Matchweek 30,Sat,Home,W,3.0,1.0,Watford,3.4,0.2,71.0,Vincent Kompany,4-3-3-0,Paul Tierney,19,8,42.1,0.16,0.38,15.8,1.0,0,0,season 2,2.0
68,2019-03-30,12:30 (08:30),Premier League,Matchweek 32,Sat,Away,W,2.0,0.0,Fulham,1.8,0.5,65.0,David Silva,4-3-3-0,Kevin Friend,24,7,29.2,0.08,0.29,18.3,1.0,0,0,season 2,2.0
69,2019-04-03,19:45 (14:45),Premier League,Matchweek 33,Wed,Home,W,2.0,0.0,Cardiff City,3.2,0.1,79.0,Fernandinho,4-3-3-0,Jonathan Moss,27,11,40.7,0.07,0.18,18.1,2.0,0,0,season 2,2.0
