,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
21,Home,W,3.0,1.0,Watford,2.1,1.0,76.0,4-3-3-0,18,7,38.9,0.11,0.29,14.9,2.0,0,0,1,0.9997856350130823,0.7916666666666666
22,Away,L,3.0,4.0,Liverpool,0.8,0.8,64.0,4-3-3-0,11,4,36.4,0.27,0.75,19.0,0.0,0,0,0,0.3636545713377149,0.7916666666666666
23,Home,W,3.0,1.0,Newcastle Utd,2.1,1.0,80.0,4-3-3-0,20,8,40.0,0.1,0.25,18.2,1.0,1,1,1,0.7272744266581868,0.7916666666666666
24,Home,W,3.0,0.0,West Brom,2.3,0.2,73.0,4-3-3-0,19,10,52.6,0.16,0.3,18.5,2.0,0,0,1,0.7506974393114348,0.7916666666666666
25,Away,D,1.0,1.0,Burnley,1.8,0.9,70.0,4-3-3-0,20,7,35.0,0.05,0.14,18.8,1.0,0,0,0,0.8999833054397195,0.7916666666666666
26,Home,W,5.0,1.0,Leicester City,2.5,0.1,70.0,4-3-3-0,19,10,52.6,0.26,0.5,16.1,0.0,0,0,1,0.8181793904883048,0.7916666666666666
27,Away,W,3.0,0.0,Arsenal,1.5,1.3,54.0,4-3-3-0,9,5,55.6,0.33,0.6,15.5,0.0,0,0,1,0.9999709659821209,0.7916666666666666
28,Home,W,1.0,0.0,Chelsea,0.9,0.1,71.0,4-3-3-0,13,2,15.4,0.08,0.5,16.7,0.0,0,0,1,0.7000079843549167,0.7916666666666666
29,Away,W,2.0,0.0,Stoke City,1.6,0.4,76.0,4-3-3-0,17,6,35.3,0.12,0.33,17.7,0.0,0,0,1,0.9367196655600012,0.7916666666666666
30,Away,W,3.0,1.0,Everton,1.5,0.9,81.0,3-5-2-0,18,4,22.2,0.17,0.75,20.2,0.0,0,0,1,0.8999833054397195,0.7647058823529411
31,Home,L,2.0,3.0,Manchester Utd,2.6,1.1,64.0,4-3-3-0,20,6,30.0,0.1,0.33,16.9,1.0,0,0,0,0.5454644989979508,0.7916666666666666
32,Away,W,3.0,1.0,Tottenham,2.9,0.4,52.0,4-3-3-0,16,5,31.3,0.13,0.4,18.0,2.0,1,1,1,0.500032663270114,0.7916666666666666
33,Home,W,5.0,0.0,Swansea City,3.2,0.3,82.0,4-3-3-0,18,11,61.1,0.28,0.45,16.7,1.0,0,1,1,0.9367196655600012,0.7916666666666666
34,Away,W,4.0,1.0,West Ham,2.4,0.2,74.0,4-3-3-0,19,7,36.8,0.16,0.43,19.2,1.0,0,0,1,0.8181793904883048,0.7916666666666666
35,Home,D,0.0,0.0,Huddersfield,0.8,0.2,78.0,4-3-3-0,15,2,13.3,0.0,0.0,19.3,0.0,0,0,0,0.7506974393114348,0.7916666666666666
36,Home,W,3.0,1.0,Brighton,1.6,1.2,73.0,4-3-3-0,19,7,36.8,0.16,0.43,19.3,1.0,0,0,1,0.9090843543184226,0.7916666666666666
37,Away,W,1.0,0.0,Southampton,0.8,0.5,69.0,4-3-3-0,13,2,15.4,0.08,0.5,21.2,1.0,0,0,1,0.7272744266581868,0.7916666666666666
38,Away,W,2.0,0.0,Arsenal,1.7,0.5,58.0,4-2-3-1,17,8,47.1,0.12,0.25,18.2,1.0,0,0,1,0.9999709659821209,0.6666666666666667
39,Home,W,6.0,1.0,Huddersfield,4.2,0.7,76.0,3-1-4-2,32,14,43.8,0.16,0.36,18.0,1.0,0,0,1,0.7506974393114348,0.6673228285219887
40,Away,D,1.0,1.0,Wolves,1.6,1.0,71.0,4-3-3-0,18,6,33.3,0.06,0.17,18.6,1.0,0,0,0,0.6666995441304379,0.7916666666666666
41,Home,W,2.0,1.0,Newcastle Utd,2.0,0.5,78.0,4-1-3-2,24,8,33.3,0.08,0.25,17.5,3.0,0,0,1,0.7272744266581868,0.7647058823529411
42,Home,W,3.0,0.0,Fulham,4.8,0.4,64.0,4-3-3-0,28,9,32.1,0.11,0.33,16.6,1.0,0,0,1,0.995767950597155,0.7916666666666666
43,Away,W,5.0,0.0,Cardiff City,2.5,0.1,78.0,4-3-3-0,21,10,47.6,0.24,0.5,13.9,1.0,0,0,1,0.9367196655600012,0.7916666666666666
44,Home,W,2.0,0.0,Brighton,2.7,0.2,79.0,4-3-3-0,28,8,28.6,0.07,0.25,15.9,0.0,0,0,1,0.9090843543184226,0.7916666666666666
45,Away,D,0.0,0.0,Liverpool,1.0,0.4,51.0,4-2-3-1,5,2,40.0,0.0,0.0,19.1,0.0,0,1,0,0.3636545713377149,0.6666666666666667
46,Home,W,5.0,0.0,Burnley,4.0,0.4,69.0,4-3-3-0,24,10,41.7,0.21,0.5,12.7,0.0,0,0,1,0.8999833054397195,0.7916666666666666
47,Away,W,1.0,0.0,Tottenham,1.6,0.4,51.0,4-3-3-0,13,5,38.5,0.08,0.2,15.7,1.0,0,0,1,0.500032663270114,0.7916666666666666
48,Home,W,6.0,1.0,Southampton,2.2,2.0,66.0,4-3-3-0,18,8,44.4,0.28,0.63,15.7,1.0,0,0,1,0.7272744266581868,0.7916666666666666
49,Home,W,3.0,1.0,Manchester Utd,1.9,1.1,65.0,4-3-3-0,17,5,29.4,0.18,0.6,18.8,0.0,0,0,1,0.5454644989979508,0.7916666666666666
50,Away,W,4.0,0.0,West Ham,2.7,0.9,69.0,4-3-3-0,9,6,66.7,0.44,0.67,10.5,0.0,0,0,1,0.8181793904883048,0.7916666666666666
51,Home,W,3.0,1.0,Bournemouth,2.6,0.6,72.0,4-3-3-0,16,6,37.5,0.19,0.5,14.7,0.0,0,0,1,0.9994182063160859,0.7916666666666666
52,Away,W,2.0,1.0,Watford,2.5,1.8,70.0,4-3-3-0,15,7,46.7,0.13,0.29,14.8,0.0,0,0,1,0.9997856350130823,0.7916666666666666
53,Away,L,0.0,2.0,Chelsea,0.9,0.6,61.0,4-3-3-0,14,4,28.6,0.0,0.0,19.7,1.0,0,0,0,0.7000079843549167,0.7916666666666666
54,Home,W,3.0,1.0,Everton,1.7,1.5,67.0,4-3-3-0,13,5,38.5,0.23,0.6,16.5,0.0,0,0,1,0.8999833054397195,0.7916666666666666
55,Home,L,2.0,3.0,Crystal Palace,1.5,0.9,78.0,4-3-3-0,19,5,26.3,0.11,0.4,18.5,1.0,0,0,0,0.5454644989979508,0.7916666666666666
