,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Formation,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,Victory,Opponent,Formation
138,Away,W,1.0,0.0,Arsenal,1.8,0.3,55.0,4-3-3-0,15,3,20.0,0.07,0.33,16.2,0.0,0,0,1,0.9999709659821209,0.7916666666666666
139,Home,W,2.0,1.0,West Ham,0.5,1.5,63.0,4-3-3-0,10,3,30.0,0.2,0.67,20.4,0.0,0,0,1,0.8181793904883048,0.7916666666666666
140,Home,W,4.0,1.0,Wolves,3.3,0.3,72.0,4-3-3-0,22,10,45.5,0.14,0.3,14.6,0.0,0,0,1,0.6666995441304379,0.7916666666666666
141,Home,L,0.0,2.0,Manchester Utd,1.3,1.7,66.0,4-2-3-1,23,6,26.1,0.0,0.0,18.7,1.0,0,0,0,0.5454644989979508,0.6666666666666667
142,Home,W,5.0,2.0,Southampton,2.6,1.6,58.0,4-3-3-0,17,10,58.8,0.29,0.5,16.0,0.0,0,0,1,0.7272744266581868,0.7916666666666666
143,Away,W,3.0,0.0,Fulham,2.2,0.3,54.0,3-4-3-0,7,6,85.7,0.29,0.33,15.3,0.0,1,1,1,0.995767950597155,0.9888409710170432
144,Away,W,2.0,0.0,Leicester City,1.4,0.3,56.0,4-2-3-1,11,4,36.4,0.18,0.5,14.5,1.0,0,0,1,0.8181793904883048,0.6666666666666667
145,Home,L,1.0,2.0,Leeds United,2.1,0.1,71.0,4-3-3-0,29,7,24.1,0.03,0.14,18.9,1.0,0,0,0,0.5125539076058264,0.7916666666666666
146,Away,W,2.0,1.0,Aston Villa,1.2,0.7,72.0,4-3-3-0,13,3,23.1,0.15,0.67,19.3,2.0,0,0,1,0.8569142953384622,0.7916666666666666
147,Away,W,2.0,0.0,Crystal Palace,1.7,0.9,68.0,4-4-1-1,20,3,15.0,0.1,0.67,14.6,1.0,0,0,1,0.5454644989979508,0.9367196655600012
148,Home,L,1.0,2.0,Chelsea,1.8,0.7,48.0,3-1-4-2,15,3,20.0,0.07,0.33,20.0,0.0,0,1,0,0.7000079843549167,0.6673228285219887
149,Away,W,4.0,3.0,Newcastle Utd,1.5,2.2,82.0,4-3-3-0,15,6,40.0,0.27,0.67,20.0,1.0,0,0,1,0.7272744266581868,0.7916666666666666
150,Away,L,2.0,3.0,Brighton,0.9,1.1,37.0,4-3-3-0,8,4,50.0,0.25,0.5,14.2,1.0,0,0,0,0.9090843543184226,0.7916666666666666
151,Home,W,5.0,0.0,Everton,2.5,1.1,67.0,4-3-3-0,21,11,52.4,0.24,0.45,15.6,0.0,0,0,1,0.8999833054397195,0.7916666666666666
152,Away,L,0.0,1.0,Tottenham,2.0,1.0,65.0,4-3-3-0,18,4,22.2,0.0,0.0,17.3,1.0,0,0,0,0.500032663270114,0.7916666666666666
153,Home,W,5.0,0.0,Norwich City,2.7,0.1,67.0,4-3-3-0,16,4,25.0,0.25,1.0,18.5,1.0,0,0,1,0.7506974393114348,0.7916666666666666
154,Home,W,5.0,0.0,Arsenal,4.0,0.2,80.0,4-3-3-0,25,10,40.0,0.2,0.5,14.8,0.0,0,0,1,0.9999709659821209,0.7916666666666666
155,Away,W,1.0,0.0,Leicester City,3.3,0.6,61.0,4-3-3-0,25,8,32.0,0.04,0.13,14.3,0.0,0,0,1,0.8181793904883048,0.7916666666666666
156,Home,D,0.0,0.0,Southampton,1.2,0.5,64.0,4-3-3-0,16,1,6.3,0.0,0.0,16.4,1.0,0,0,0,0.7272744266581868,0.7916666666666666
157,Away,W,1.0,0.0,Chelsea,1.4,0.2,59.0,4-3-3-0,15,3,20.0,0.07,0.33,17.1,0.0,0,0,1,0.7000079843549167,0.7916666666666666
158,Away,D,2.0,2.0,Liverpool,1.7,0.8,51.0,4-3-3-0,12,3,25.0,0.17,0.67,17.0,1.0,0,0,0,0.3636545713377149,0.7916666666666666
159,Home,W,2.0,0.0,Burnley,2.2,0.8,70.0,4-3-3-0,15,6,40.0,0.13,0.33,14.4,0.0,0,0,1,0.8999833054397195,0.7916666666666666
160,Away,W,4.0,1.0,Brighton,4.0,1.4,52.0,4-3-3-0,23,12,52.2,0.17,0.33,16.0,1.0,0,0,1,0.9090843543184226,0.7916666666666666
161,Home,L,0.0,2.0,Crystal Palace,1.1,0.8,68.0,4-3-3-0,14,3,21.4,0.0,0.0,17.6,0.0,0,0,0,0.5454644989979508,0.7916666666666666
162,Away,W,2.0,0.0,Manchester Utd,2.3,0.8,67.0,4-3-3-0,16,5,31.3,0.06,0.2,14.7,0.0,0,0,1,0.5454644989979508,0.7916666666666666
163,Home,W,3.0,0.0,Everton,2.6,0.2,77.0,4-3-3-0,17,7,41.2,0.18,0.43,16.4,1.0,0,0,1,0.8999833054397195,0.7916666666666666
164,Home,W,2.0,1.0,West Ham,2.4,0.2,68.0,4-3-3-0,19,8,42.1,0.11,0.25,16.0,0.0,0,0,1,0.8181793904883048,0.7916666666666666
165,Away,W,2.0,1.0,Aston Villa,1.2,0.9,64.0,4-2-3-1,17,7,41.2,0.12,0.29,19.2,1.0,0,0,1,0.8569142953384622,0.6666666666666667
166,Away,W,3.0,1.0,Watford,3.5,0.9,77.0,4-3-3-0,26,12,46.2,0.12,0.25,14.4,0.0,0,0,1,0.9997856350130823,0.7916666666666666
167,Home,W,1.0,0.0,Wolves,3.5,0.1,71.0,4-3-3-0,23,8,34.8,0.0,0.0,15.7,0.0,1,1,1,0.6666995441304379,0.7916666666666666
168,Home,W,7.0,0.0,Leeds United,3.2,0.3,63.0,4-2-3-1,31,15,48.4,0.23,0.47,17.3,2.0,0,0,1,0.5125539076058264,0.6666666666666667
169,Away,W,4.0,0.0,Newcastle Utd,2.9,0.4,71.0,4-2-3-1,18,7,38.9,0.22,0.57,12.9,0.0,0,0,1,0.7272744266581868,0.6666666666666667
170,Home,W,6.0,3.0,Leicester City,3.9,2.4,72.0,4-3-3-0,15,6,40.0,0.27,0.67,17.5,1.0,2,2,1,0.8181793904883048,0.7916666666666666
171,Away,W,1.0,0.0,Brentford,1.0,0.6,76.0,4-3-3-0,12,3,25.0,0.08,0.33,19.8,0.0,0,0,1,0.6783532276492272,0.7916666666666666
172,Away,W,2.0,1.0,Arsenal,2.2,0.9,71.0,4-2-3-1,14,1,7.1,0.07,1.0,18.7,0.0,1,1,1,0.9999709659821209,0.6666666666666667
173,Home,W,1.0,0.0,Chelsea,0.9,0.4,56.0,4-2-3-1,11,6,54.5,0.09,0.17,16.5,1.0,0,0,1,0.7000079843549167,0.6666666666666667
174,Away,D,1.0,1.0,Southampton,1.9,0.7,74.0,4-3-3-0,20,5,25.0,0.05,0.2,17.5,0.0,0,0,0,0.7272744266581868,0.7916666666666666
175,Home,W,2.0,0.0,Brentford,1.8,0.6,74.0,4-3-3-0,14,6,42.9,0.07,0.17,19.8,0.0,1,1,1,0.6783532276492272,0.7916666666666666
176,Away,W,4.0,0.0,Norwich City,4.9,0.5,71.0,4-3-3-0,21,8,38.1,0.19,0.5,11.8,0.0,0,1,1,0.7506974393114348,0.7916666666666666
177,Home,L,2.0,3.0,Tottenham,2.6,1.1,71.0,4-3-3-0,20,3,15.0,0.05,0.33,16.2,0.0,1,1,0,0.500032663270114,0.7916666666666666
178,Away,W,1.0,0.0,Everton,1.9,0.5,67.0,4-3-3-0,13,8,61.5,0.08,0.13,16.3,0.0,0,0,1,0.8999833054397195,0.7916666666666666
179,Home,W,4.0,1.0,Manchester Utd,3.1,0.5,69.0,4-3-3-0,24,10,41.7,0.17,0.4,15.2,1.0,0,0,1,0.5454644989979508,0.7916666666666666
180,Away,D,0.0,0.0,Crystal Palace,2.9,0.8,73.0,4-3-3-0,19,4,21.1,0.0,0.0,17.2,0.0,0,0,0,0.5454644989979508,0.7916666666666666
181,Away,W,2.0,0.0,Burnley,2.0,0.1,76.0,4-3-3-0,18,6,33.3,0.11,0.33,16.5,0.0,0,0,1,0.8999833054397195,0.7916666666666666
182,Home,D,2.0,2.0,Liverpool,1.6,1.2,55.0,4-2-3-1,11,4,36.4,0.18,0.5,17.8,1.0,0,0,0,0.3636545713377149,0.6666666666666667
183,Home,W,3.0,0.0,Brighton,1.6,0.2,65.0,4-3-3-0,17,5,29.4,0.18,0.6,20.0,0.0,0,0,1,0.9090843543184226,0.7916666666666666
184,Home,W,5.0,1.0,Watford,3.9,0.4,73.0,4-2-3-1,20,7,35.0,0.2,0.57,14.6,0.0,1,1,1,0.9997856350130823,0.6666666666666667
185,Away,W,4.0,0.0,Leeds United,2.5,1.3,58.0,4-2-3-1,19,6,31.6,0.21,0.67,16.2,0.0,0,0,1,0.5125539076058264,0.6666666666666667
186,Home,W,5.0,0.0,Newcastle Utd,3.3,0.8,71.0,4-2-3-1,21,9,42.9,0.24,0.56,16.0,1.0,0,0,1,0.7272744266581868,0.6666666666666667
187,Away,W,5.0,1.0,Wolves,2.8,0.5,66.0,4-2-3-1,15,5,33.3,0.33,1.0,14.7,0.0,0,0,1,0.6666995441304379,0.6666666666666667
188,Away,D,2.0,2.0,West Ham,2.9,1.8,78.0,4-3-3-0,30,7,23.3,0.03,0.14,18.6,2.0,0,1,0,0.8181793904883048,0.7916666666666666
189,Home,W,3.0,2.0,Aston Villa,3.7,0.3,71.0,4-3-3-0,24,5,20.8,0.13,0.6,14.2,1.0,0,0,1,0.8569142953384622,0.7916666666666666
