Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,Gls,Sh,SoT,SoT%,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
2019-05-06,20:00 (15:00),Matchweek 37,Mon,Home,W,1,0,Leicester City,1,19,5,26.3,0.05,0.2,20.2,0,0,0,1,1,0.05,0,0
2019-05-12,15:00 (10:00),Matchweek 38,Sun,Away,W,4,1,Brighton,4,20,9,45,0.2,0.44,18.9,2,0,0,1.6,1.6,0.08,+2.4,+2.4
2019-08-10,12:30 (07:30),Matchweek 1,Sat,Away,W,5,0,West Ham,5,13,8,61.5,0.31,0.5,16.7,0,1,1,3.2,2.4,0.19,+1.8,+1.6
2019-08-17,17:30 (12:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,2,30,10,33.3,0.07,0.2,15.4,0,0,0,2.9,2.9,0.1,-0.9,-0.9
2019-08-25,14:00 (09:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,3,18,5,27.8,0.17,0.6,14.8,0,0,0,3,3,0.17,0,0
2019-08-31,15:00 (10:00),Matchweek 4,Sat,Home,W,4,0,Brighton,4,15,6,40,0.27,0.67,15.4,1,0,0,1.9,1.9,0.13,+2.1,+2.1
2019-09-14,17:30 (12:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,2,25,8,32,0.08,0.25,15.1,0,0,0,2.3,2.3,0.09,-0.3,-0.3
2019-09-21,15:00 (10:00),Matchweek 6,Sat,Home,W,8,0,Watford,8,27,10,37,0.26,0.7,14.9,2,1,1,5.9,5.1,0.19,+2.1,+1.9
2019-09-28,17:30 (12:30),Matchweek 7,Sat,Away,W,3,1,Everton,3,19,8,42.1,0.16,0.38,14.7,1,0,0,2.8,2.8,0.15,+0.2,+0.2
2019-10-06,14:00 (09:00),Matchweek 8,Sun,Home,L,0,2,Wolves,0,18,2,11.1,0,0,18.7,2,0,0,1.4,1.4,0.08,-1.4,-1.4
2019-10-19,17:30 (12:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,2,21,10,47.6,0.1,0.2,13.4,0,0,0,3.5,3.5,0.17,-1.5,-1.5
2019-10-26,12:30 (07:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,3,26,9,34.6,0.12,0.33,15.1,0,0,0,2.9,2.9,0.11,+0.1,+0.1
2019-11-02,15:00 (11:00),Matchweek 11,Sat,Home,W,2,1,Southampton,2,26,4,15.4,0.08,0.5,15.6,1,0,0,2.9,2.9,0.11,-0.9,-0.9
2019-11-10,16:30 (11:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,1,18,3,16.7,0.06,0.33,17.3,0,0,0,1.3,1.3,0.07,-0.3,-0.3
2019-11-23,17:30 (12:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,2,15,4,26.7,0.13,0.5,17.9,0,0,0,1,1,0.07,+1.0,+1.0
2019-11-30,12:30 (07:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,2,24,9,37.5,0.08,0.22,16.6,0,0,0,2.4,2.4,0.1,-0.4,-0.4
2019-12-03,20:15 (15:15),Matchweek 15,Tue,Away,W,4,1,Burnley,4,17,8,47.1,0.24,0.5,17.9,0,0,0,2.2,2.2,0.13,+1.8,+1.8
2019-12-07,17:30 (12:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,1,23,5,21.7,0.04,0.2,14.7,2,0,0,2.2,2.2,0.1,-1.2,-1.2
2019-12-15,16:30 (11:30),Matchweek 17,Sun,Away,W,3,0,Arsenal,3,14,7,50,0.21,0.43,18.9,0,0,0,1.3,1.3,0.09,+1.7,+1.7
2019-12-21,17:30 (12:30),Matchweek 18,Sat,Home,W,3,1,Leicester City,3,22,11,50,0.09,0.18,15.7,1,1,1,3.3,2.5,0.12,-0.3,-0.5
2019-12-27,19:45 (14:45),Matchweek 19,Fri,Away,L,2,3,Wolves,2,6,2,33.3,0.33,1,19,1,0,1,1.5,0.6,0.1,+0.5,+1.4
2019-12-29,18:00 (13:00),Matchweek 20,Sun,Home,W,2,0,Sheffield Utd,2,16,4,25,0.13,0.5,23.1,2,0,0,1.1,1.1,0.07,+0.9,+0.9
2020-01-01,17:30 (12:30),Matchweek 21,Wed,Home,W,2,1,Everton,2,16,7,43.8,0.13,0.29,16,0,0,0,1.5,1.5,0.09,+0.5,+0.5
2020-01-12,16:30 (11:30),Matchweek 22,Sun,Away,W,6,1,Aston Villa,6,22,11,50,0.27,0.55,16.1,1,0,0,2.8,2.8,0.13,+3.2,+3.2
2020-01-18,15:00 (10:00),Matchweek 23,Sat,Home,D,2,2,Crystal Palace,2,25,6,24,0.08,0.33,16.7,1,0,0,2.6,2.6,0.11,-0.6,-0.6
2020-01-21,19:30 (14:30),Matchweek 24,Tue,Away,W,1,0,Sheffield Utd,1,17,4,23.5,0.06,0.25,17.3,1,0,1,2.8,2,0.12,-1.8,-1
