Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-11-06,12:30 (08:30),Matchweek 11,Sat,Away,W,2,0,Manchester Utd,2.3,0.8,67,73086,İlkay Gündoğan,4-3-3-0,Michael Oliver,Match Report,
2021-11-21,14:00 (09:00),Matchweek 12,Sun,Home,W,3,0,Everton,2.6,0.2,77,52571,İlkay Gündoğan,4-3-3-0,Stuart Attwell,Match Report,
2021-11-28,14:00 (09:00),Matchweek 13,Sun,Home,W,2,1,West Ham,2.4,0.2,68,53245,İlkay Gündoğan,4-3-3-0,Michael Oliver,Match Report,
2021-12-01,20:15 (15:15),Matchweek 14,Wed,Away,W,2,1,Aston Villa,1.2,0.9,64,41400,Fernandinho,4-2-3-1,Mike Dean,Match Report,
2021-12-04,17:30 (12:30),Matchweek 15,Sat,Away,W,3,1,Watford,3.5,0.9,77,20673,İlkay Gündoğan,4-3-3-0,Simon Hooper,Match Report,
2021-12-11,12:30 (07:30),Matchweek 16,Sat,Home,W,1,0,Wolves,3.5,0.1,71,52613,İlkay Gündoğan,4-3-3-0,Jonathan Moss,Match Report,
2021-12-14,20:00 (15:00),Matchweek 17,Tue,Home,W,7,0,Leeds United,3.2,0.3,63,52401,Rúben Dias,4-2-3-1,Paul Tierney,Match Report,
2021-12-19,14:15 (09:15),Matchweek 18,Sun,Away,W,4,0,Newcastle Utd,2.9,0.4,71,52127,Rúben Dias,4-2-3-1,Martin Atkinson,Match Report,
2021-12-26,15:00 (10:00),Matchweek 19,Sun,Home,W,6,3,Leicester City,3.9,2.4,72,53226,Fernandinho,4-3-3-0,Chris Kavanagh,Match Report,
2021-12-29,20:15 (15:15),Matchweek 20,Wed,Away,W,1,0,Brentford,1,0.6,76,17009,Fernandinho,4-3-3-0,David Coote,Match Report,
2022-01-01,12:30 (07:30),Matchweek 21,Sat,Away,W,2,1,Arsenal,2.2,0.9,71,59757,Rúben Dias,4-2-3-1,Stuart Attwell,Match Report,
2022-01-15,12:30 (07:30),Matchweek 22,Sat,Home,W,1,0,Chelsea,0.9,0.4,56,53319,Kevin De Bruyne,4-2-3-1,Craig Pawson,Match Report,
2022-01-22,17:30 (12:30),Matchweek 23,Sat,Away,D,1,1,Southampton,1.9,0.7,74,31178,Rúben Dias,4-3-3-0,Simon Hooper,Match Report,
2022-02-09,19:45 (14:45),Matchweek 24,Wed,Home,W,2,0,Brentford,1.8,0.6,74,51658,Rúben Dias,4-3-3-0,Darren England,Match Report,
2022-02-12,17:30 (12:30),Matchweek 25,Sat,Away,W,4,0,Norwich City,4.9,0.5,71,27010,Fernandinho,4-3-3-0,Andre Marriner,Match Report,
2022-02-19,17:30 (12:30),Matchweek 26,Sat,Home,L,2,3,Tottenham,2.6,1.1,71,53201,İlkay Gündoğan,4-3-3-0,Anthony Taylor,Match Report,
2022-02-26,17:30 (12:30),Matchweek 27,Sat,Away,W,1,0,Everton,1.9,0.5,67,39105,İlkay Gündoğan,4-3-3-0,Paul Tierney,Match Report,
2022-03-06,16:30 (11:30),Matchweek 28,Sun,Home,W,4,1,Manchester Utd,3.1,0.5,69,53165,Kevin De Bruyne,4-3-3-0,Michael Oliver,Match Report,
2022-03-14,20:00 (16:00),Matchweek 29,Mon,Away,D,0,0,Crystal Palace,2.9,0.8,73,25309,Kevin De Bruyne,4-3-3-0,Martin Atkinson,Match Report,
2022-04-02,15:00 (10:00),Matchweek 31,Sat,Away,W,2,0,Burnley,2,0.1,76,21249,İlkay Gündoğan,4-3-3-0,Craig Pawson,Match Report,
2022-04-10,16:30 (11:30),Matchweek 32,Sun,Home,D,2,2,Liverpool,1.6,1.2,55,53197,Kevin De Bruyne,4-2-3-1,Anthony Taylor,Match Report,
2022-04-20,20:00 (15:00),Matchweek 30,Wed,Home,W,3,0,Brighton,1.6,0.2,65,52226,İlkay Gündoğan,4-3-3-0,Mike Dean,Match Report,
2022-04-23,15:00 (10:00),Matchweek 34,Sat,Home,W,5,1,Watford,3.9,0.4,73,53013,Fernandinho,4-2-3-1,Kevin Friend,Match Report,
2022-04-30,17:30 (12:30),Matchweek 35,Sat,Away,W,4,0,Leeds United,2.5,1.3,58,35771,İlkay Gündoğan,4-2-3-1,Paul Tierney,Match Report,
2022-05-08,16:30 (11:30),Matchweek 36,Sun,Home,W,5,0,Newcastle Utd,3.3,0.8,71,53336,İlkay Gündoğan,4-2-3-1,Stuart Attwell,Match Report,
2022-05-11,20:15 (15:15),Matchweek 33,Wed,Away,W,5,1,Wolves,2.8,0.5,66,32000,Fernandinho,4-2-3-1,Martin Atkinson,Match Report,
2022-05-15,14:00 (09:00),Matchweek 37,Sun,Away,D,2,2,West Ham,2.9,1.8,78,59972,Fernandinho,4-3-3-0,Anthony Taylor,Match Report,
2022-05-22,16:00 (11:00),Matchweek 38,Sun,Home,W,3,2,Aston Villa,3.7,0.3,71,53395,Fernandinho,4-3-3-0,Michael Oliver,Match Report,
