Date,Time,Round,Day,Venue,Result,GF,GA,Opponent,xG,xGA,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2018-05-09,20:00 (15:00),Matchweek 31,Wed,Home,W,3,1,Brighton,1.6,1.2,73,54013,Yaya Touré,4-3-3-0,Paul Tierney,Match Report,
2018-05-13,15:00 (10:00),Matchweek 38,Sun,Away,W,1,0,Southampton,0.8,0.5,69,31882,Fernandinho,4-3-3-0,Andre Marriner,Match Report,
2018-08-12,16:00 (11:00),Matchweek 1,Sun,Away,W,2,0,Arsenal,1.7,0.5,58,59934,Fernandinho,4-2-3-1,Michael Oliver,Match Report,
2018-08-19,13:30 (08:30),Matchweek 2,Sun,Home,W,6,1,Huddersfield,4.2,0.7,76,54021,Vincent Kompany,3-1-4-2,Andre Marriner,Match Report,
2018-08-25,12:30 (07:30),Matchweek 3,Sat,Away,D,1,1,Wolves,1.6,1,71,31322,Vincent Kompany,4-3-3-0,Martin Atkinson,Match Report,
2018-09-01,17:30 (12:30),Matchweek 4,Sat,Home,W,2,1,Newcastle Utd,2,0.5,78,53946,David Silva,4-1-3-2,Kevin Friend,Match Report,
2018-09-15,15:00 (10:00),Matchweek 5,Sat,Home,W,3,0,Fulham,4.8,0.4,64,53307,David Silva,4-3-3-0,Stuart Attwell,Match Report,
2018-09-22,15:00 (10:00),Matchweek 6,Sat,Away,W,5,0,Cardiff City,2.5,0.1,78,32321,Fernandinho,4-3-3-0,Michael Oliver,Match Report,
2018-09-29,15:00 (10:00),Matchweek 7,Sat,Home,W,2,0,Brighton,2.7,0.2,79,54152,David Silva,4-3-3-0,Lee Mason,Match Report,
2018-10-07,16:30 (11:30),Matchweek 8,Sun,Away,D,0,0,Liverpool,1,0.4,51,52117,David Silva,4-2-3-1,Martin Atkinson,Match Report,
2018-10-20,15:00 (10:00),Matchweek 9,Sat,Home,W,5,0,Burnley,4,0.4,69,54094,Vincent Kompany,4-3-3-0,Jonathan Moss,Match Report,
2018-10-29,20:00 (16:00),Matchweek 10,Mon,Away,W,1,0,Tottenham,1.6,0.4,51,56854,David Silva,4-3-3-0,Kevin Friend,Match Report,
2018-11-04,15:00 (10:00),Matchweek 11,Sun,Home,W,6,1,Southampton,2.2,2,66,53916,David Silva,4-3-3-0,Lee Mason,Match Report,
2018-11-11,16:30 (11:30),Matchweek 12,Sun,Home,W,3,1,Manchester Utd,1.9,1.1,65,54316,David Silva,4-3-3-0,Anthony Taylor,Match Report,
2018-11-24,15:00 (10:00),Matchweek 13,Sat,Away,W,4,0,West Ham,2.7,0.9,69,56886,David Silva,4-3-3-0,Andre Marriner,Match Report,
2018-12-01,15:00 (10:00),Matchweek 14,Sat,Home,W,3,1,Bournemouth,2.6,0.6,72,54409,Fernandinho,4-3-3-0,Stuart Attwell,Match Report,
2018-12-04,20:00 (15:00),Matchweek 15,Tue,Away,W,2,1,Watford,2.5,1.8,70,20389,Vincent Kompany,4-3-3-0,Paul Tierney,Match Report,
2018-12-08,17:30 (12:30),Matchweek 16,Sat,Away,L,0,2,Chelsea,0.9,0.6,61,40571,David Silva,4-3-3-0,Michael Oliver,Match Report,
2018-12-15,12:30 (07:30),Matchweek 17,Sat,Home,W,3,1,Everton,1.7,1.5,67,54173,Fernandinho,4-3-3-0,Craig Pawson,Match Report,
2018-12-22,15:00 (10:00),Matchweek 18,Sat,Home,L,2,3,Crystal Palace,1.5,0.9,78,54340,Fabian Delph,4-3-3-0,Andre Marriner,Match Report,
2018-12-26,15:00 (10:00),Matchweek 19,Wed,Away,L,1,2,Leicester City,1.4,1.3,66,32090,Sergio Agüero,4-3-3-0,Mike Dean,Match Report,
2018-12-30,14:15 (09:15),Matchweek 20,Sun,Away,W,3,1,Southampton,2.5,0.2,76,31381,Vincent Kompany,4-3-3-0,Paul Tierney,Match Report,
2019-01-03,20:00 (15:00),Matchweek 21,Thu,Home,W,2,1,Liverpool,1.1,1.5,49,54511,Vincent Kompany,4-3-3-0,Anthony Taylor,Match Report,
2019-01-14,20:00 (15:00),Matchweek 22,Mon,Home,W,3,0,Wolves,2.8,0.1,76,54171,David Silva,4-3-3-0,Craig Pawson,Match Report,
2019-01-20,13:30 (08:30),Matchweek 23,Sun,Away,W,3,0,Huddersfield,2,0.9,67,24190,Fernandinho,4-3-3-0,Andre Marriner,Match Report,
2019-01-29,20:00 (15:00),Matchweek 24,Tue,Away,L,1,2,Newcastle Utd,1.4,1.1,75,50861,David Silva,4-3-3-0,Paul Tierney,Match Report,
2019-02-03,16:30 (11:30),Matchweek 25,Sun,Home,W,3,1,Arsenal,2.7,0.7,59,54483,David Silva,4-3-3-0,Martin Atkinson,Match Report,
2019-02-06,19:45 (14:45),Matchweek 27,Wed,Away,W,2,0,Everton,2.2,0.1,61,39322,David Silva,4-3-3-0,Craig Pawson,Match Report,
2019-02-10,16:00 (11:00),Matchweek 26,Sun,Home,W,6,0,Chelsea,3,0.9,56,54452,Fernandinho,4-3-3-0,Mike Dean,Match Report,
2019-02-27,20:00 (15:00),Matchweek 28,Wed,Home,W,1,0,West Ham,3.5,0.4,75,53528,Vincent Kompany,4-3-3-0,Stuart Attwell,Match Report,
2019-03-02,15:00 (10:00),Matchweek 29,Sat,Away,W,1,0,Bournemouth,1.2,0,81,10699,David Silva,4-3-3-0,Kevin Friend,Match Report,
2019-03-09,17:30 (12:30),Matchweek 30,Sat,Home,W,3,1,Watford,3.4,0.2,71,54104,Vincent Kompany,4-3-3-0,Paul Tierney,Match Report,
2019-03-30,12:30 (08:30),Matchweek 32,Sat,Away,W,2,0,Fulham,1.8,0.5,65,25001,David Silva,4-3-3-0,Kevin Friend,Match Report,
2019-04-03,19:45 (14:45),Matchweek 33,Wed,Home,W,2,0,Cardiff City,3.2,0.1,79,53559,Fernandinho,4-3-3-0,Jonathan Moss,Match Report,
2019-04-14,14:05 (09:05),Matchweek 34,Sun,Away,W,3,1,Crystal Palace,2.5,0.4,73,25721,Vincent Kompany,4-2-3-1,Martin Atkinson,Match Report,
2019-04-20,12:30 (07:30),Matchweek 35,Sat,Home,W,1,0,Tottenham,1.9,1,61,54489,Sergio Agüero,4-3-3-0,Michael Oliver,Match Report,
2019-04-24,20:00 (15:00),Matchweek 31,Wed,Away,W,2,0,Manchester Utd,0.5,0.5,63,74431,Vincent Kompany,4-3-3-0,Andre Marriner,Match Report,
2019-04-28,14:05 (09:05),Matchweek 36,Sun,Away,W,1,0,Burnley,2.5,0.1,69,21605,Vincent Kompany,4-3-3-0,Paul Tierney,Match Report,
2019-05-06,20:00 (15:00),Matchweek 37,Mon,Home,W,1,0,Leicester City,1,0.5,61,54506,Vincent Kompany,4-3-3-0,Mike Dean,Match Report,
2019-05-12,15:00 (10:00),Matchweek 38,Sun,Away,W,4,1,Brighton,1.6,0.5,75,30662,Vincent Kompany,4-4-1-1,Michael Oliver,Match Report,
2019-08-10,12:30 (07:30),Matchweek 1,Sat,Away,W,5,0,West Ham,3.2,1.1,57,59870,David Silva,4-3-3-0,Mike Dean,Match Report,
2019-08-17,17:30 (12:30),Matchweek 2,Sat,Home,D,2,2,Tottenham,2.9,0.1,55,54503,Kevin De Bruyne,4-2-3-1,Michael Oliver,Match Report,
2019-08-25,14:00 (09:00),Matchweek 3,Sun,Away,W,3,1,Bournemouth,3,2.2,74,10486,David Silva,4-3-3-0,Andre Marriner,Match Report,
2019-08-31,15:00 (10:00),Matchweek 4,Sat,Home,W,4,0,Brighton,1.9,0.9,53,54386,David Silva,4-3-3-0,Jonathan Moss,Match Report,
2019-09-14,17:30 (12:30),Matchweek 5,Sat,Away,L,2,3,Norwich City,2.3,1.5,68,27035,David Silva,4-2-3-1,Kevin Friend,Match Report,
2019-09-21,15:00 (10:00),Matchweek 6,Sat,Home,W,8,0,Watford,5.9,0.4,68,54273,David Silva,4-3-3-0,Mike Dean,Match Report,
2019-09-28,17:30 (12:30),Matchweek 7,Sat,Away,W,3,1,Everton,2.8,2.4,63,39222,Fernandinho,4-3-3-0,Michael Oliver,Match Report,
2019-10-06,14:00 (09:00),Matchweek 8,Sun,Home,L,0,2,Wolves,1.4,1,75,54435,David Silva,4-2-3-1,Craig Pawson,Match Report,
2019-10-19,17:30 (12:30),Matchweek 9,Sat,Away,W,2,0,Crystal Palace,3.5,0.9,71,25480,David Silva,4-3-3-0,Anthony Taylor,Match Report,
2019-10-26,12:30 (07:30),Matchweek 10,Sat,Home,W,3,0,Aston Villa,2.9,1,63,54506,David Silva,4-3-3-0,Graham Scott,Match Report,
2019-11-02,15:00 (11:00),Matchweek 11,Sat,Home,W,2,1,Southampton,2.9,0.9,75,53922,David Silva,4-3-3-0,Lee Mason,Match Report,
2019-11-10,16:30 (11:30),Matchweek 12,Sun,Away,L,1,3,Liverpool,1.3,1.1,55,53324,Fernandinho,4-2-3-1,Michael Oliver,Match Report,
2019-11-23,17:30 (12:30),Matchweek 13,Sat,Home,W,2,1,Chelsea,1,0.9,47,54486,David Silva,4-3-3-0,Martin Atkinson,Match Report,
2019-11-30,12:30 (07:30),Matchweek 14,Sat,Away,D,2,2,Newcastle Utd,2.4,0.3,75,49937,David Silva,4-3-3-0,Chris Kavanagh,Match Report,
2019-12-03,20:15 (15:15),Matchweek 15,Tue,Away,W,4,1,Burnley,2.2,0.6,75,20101,David Silva,4-3-3-0,Jonathan Moss,Match Report,
2019-12-07,17:30 (12:30),Matchweek 16,Sat,Home,L,1,2,Manchester Utd,2.2,1.4,72,54403,David Silva,4-3-3-0,Anthony Taylor,Match Report,
