,Confirmed,Deaths,Recovered,Active,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered,Confirmed last week,1 week change,1 week % increase,WHO Region
Dominica,18,0,18,0,0,100,0,18,0,0,Americas
Dominican Republic,64156,1083,30204,32869,1.69,47.08,3.59,53956,10200,18.9,Americas
Ecuador,81161,5532,34896,40733,6.82,43,15.85,74620,6541,8.77,Americas
Egypt,92482,4652,34838,52992,5.03,37.67,13.35,88402,4080,4.62,Eastern Mediterranean
El Salvador,15035,408,7778,6849,2.71,51.73,5.25,12207,2828,23.17,Americas
Equatorial Guinea,3071,51,842,2178,1.66,27.42,6.06,3071,0,0,Africa
Eritrea,265,0,191,74,0,72.08,0,251,14,5.58,Africa
Estonia,2034,69,1923,42,3.39,94.54,3.59,2021,13,0.64,Europe
Eswatini,2316,34,1025,1257,1.47,44.26,3.32,1826,490,26.83,Africa
Ethiopia,14547,228,6386,7933,1.57,43.9,3.57,10207,4340,42.52,Africa
Fiji,27,0,18,9,0,66.67,0,27,0,0,Western Pacific
Finland,7398,329,6920,149,4.45,93.54,4.75,7340,58,0.79,Europe
France,220352,30212,81212,108928,13.71,36.86,37.2,214023,6329,2.96,Europe
Gabon,7189,49,4682,2458,0.68,65.13,1.05,6433,756,11.75,Africa
Gambia,326,8,66,252,2.45,20.25,12.12,112,214,191.07,Africa
Georgia,1137,16,922,199,1.41,81.09,1.74,1039,98,9.43,Europe
Germany,207112,9125,190314,7673,4.41,91.89,4.79,203325,3787,1.86,Europe
Ghana,33624,168,29801,3655,0.5,88.63,0.56,28430,5194,18.27,Africa
Greece,4227,202,1374,2651,4.78,32.51,14.7,4012,215,5.36,Europe
Greenland,14,0,13,1,0,92.86,0,13,1,7.69,Europe
Grenada,23,0,23,0,0,100,0,23,0,0,Americas
Guatemala,45309,1761,32455,11093,3.89,71.63,5.43,39039,6270,16.06,Americas
Guinea,7055,45,6257,753,0.64,88.69,0.72,6590,465,7.06,Africa
Guinea-Bissau,1954,26,803,1125,1.33,41.1,3.24,1949,5,0.26,Africa
Guyana,389,20,181,188,5.14,46.53,11.05,337,52,15.43,Americas
Haiti,7340,158,4365,2817,2.15,59.47,3.62,7053,287,4.07,Americas
Holy See,12,0,12,0,0,100,0,12,0,0,Europe
Honduras,39741,1166,5039,33536,2.93,12.68,23.14,34611,5130,14.82,Americas
Hungary,4448,596,3329,523,13.4,74.84,17.9,4339,109,2.51,Europe
Iceland,1854,10,1823,21,0.54,98.33,0.55,1839,15,0.82,Europe
India,1480073,33408,951166,495499,2.26,64.26,3.51,1155338,324735,28.11,South-East Asia
Indonesia,100303,4838,58173,37292,4.82,58,8.32,88214,12089,13.7,South-East Asia
Iran,293606,15912,255144,22550,5.42,86.9,6.24,276202,17404,6.3,Eastern Mediterranean
Iraq,112585,4458,77144,30983,3.96,68.52,5.78,94693,17892,18.89,Eastern Mediterranean
Ireland,25892,1764,23364,764,6.81,90.24,7.55,25766,126,0.49,Europe
